X,Y,FID,Location_I,Site_Name,Address1,Address2,City,State,Zip,County,Start_Date,Latitude,Longitude,GlobalID
-8693987.2204,4048049.3579,87,CCB0008,"Irving Farm Rd./Near Winnabow, NC",S.R. 1410 / Green Hill Road N.E.,-,Winnabow,NC,28479,Brunswick,1998/12/01 00:00:00,34.143221,-78.099416,{6CA7CB09-1B99-4F19-9543-1912A92F51C7}
-8698026.4481,4049747.3132,88,CCB0009,Willetts’ Lewis Swamp Property,North of S.R. 1410 / Green Hill Road N.E.,(Sunflower Trail N.E.),Leland,NC,28451,Brunswick,1998/03/02 00:00:00,34.155844,-78.135701,{9E1B36B2-63D6-4059-84D4-159073800FC0}
-8698485.7523,4050136.36,89,CCB0010,Lanier Property Project Dupont,Turceau Trail N.E.,-,Leland,NC,28451,Brunswick,1999/09/17 00:00:00,34.158736,-78.139827,{D5D07BAE-42AF-4F35-90EA-1E459E4872D5}
-8557345.3284,4152449.0594,90,CCB0011,Cherry Point Impact Berm,Rifle Range Road,-,Cherry Point,NC,28533,Craven,2009/03/15 00:00:00,34.915833,-76.871941,{C1A65B5D-23C4-4BB3-922F-11B37FDA17BB}
-8717917.0147,4070061.8961,91,CCB0012,Small Aircraft Landing Strip,West Side of S.R. 1836 and S.R. 1838,(Byrdville Freeman Road),Bolton,NC,28423,Columbus,1995/11/01 00:00:00,34.306721,-78.314381,{FE5CC0E1-05FB-45AC-B57D-0FEE32366636}
-8774848.0287,4195895.587,92,CCB0013,Boogle Bay Raceway,5600 Murchison Road,-,Fayetteville,NC,28311,Cumberland,1990/08/22 00:00:00,35.235241,-78.825801,{4FE84B1D-7BD7-4135-8815-13FAC9ADA9A2}
-8775257.9071,4196011.4332,93,CCB0014,Boogle Bay Phase II,9000 Ramsey Street,-,Linden,NC,28356,Cumberland,1992/05/20 00:00:00,35.236091,-78.829483,{A4218A23-5085-4CD0-9261-0A81C23A5D01}
-8786677.951,4180541.027,94,CCB0015,"Crowell Constructors-Coal Ash Utilization; Burlington Industries;",5600 Murchison Road,-,Fayetteville,NC,28311,Cumberland,,35.122501,-78.932071,{6170446B-BE1D-4517-B58A-17E103D428F3}
-8786677.951,4180541.027,95,CCB0016,"Crowell Constructors- Coal Ash Utilization; JP Stephens",5600 Murchison Road,-,Fayetteville,NC,28311,Cumberland,1992/03/17 00:00:00,35.122501,-78.932071,{40406BB1-4ED8-46EC-978A-EB40DA1CB469}
-8786677.951,4180541.027,96,CCB0017,"Crowell Constructors-Coal Ash Utilization; Phillip Morris",5600 Murchison Road,-,Fayetteville,NC,28311,Cumberland,1998/02/27 00:00:00,35.122501,-78.932071,{746C6647-E4AE-4C18-9C3B-5F701E51C138}
-8770660.1894,4199338.7825,97,CCB0018,NorthSide Mine,U.S. Highway 401,-,Linden,NC,28356,Cumberland,2001/06/25 00:00:00,35.260501,-78.788181,{D5A4D785-5799-40F3-B47B-610B95721D4E}
-8657166.629,4300456.3927,98,CCB0019,Fountain Industrial Park,U.S. Highway 301,(Garden Lane),Rocky Mount,NC,27801,Edgecombe,1989/06/15 00:00:00,35.998801,-77.768651,{C273ABF8-EDC8-4D40-869A-03442C3FF7BF}
-9017769.4215,4188778.1421,99,CCB0020,"Allen Steam Station Retired Ash Basin;",South Point and Plant Allen Roads,-,Belmont,NC,28012,Gaston,2009/01/16 00:00:00,35.183001,-81.008001,{FB548A16-D6D8-4F65-AC61-CFB525D98CD9}
-8640439.7623,4357540.0168,100,CCB0021,Weldon Acceptance Facility,North side of Aurelian Springs Road,(Cherry Street),Weldon,NC,27890,Halifax,2003/03/14 00:00:00,36.412571,-77.618391,{0F4D621B-B516-4D67-9158-3D72E017C5B4}
-8638859.0255,4358836.2068,101,CCB0022,JS Turner Sawmill Structural Fill Project,Mulberry Street,-,Weldon,NC,27890,Halifax,,36.421941,-77.604191,{65016862-4103-449F-B5EC-733B4F2CB7B0}
-8640448.8905,4360153.1688,102,CCB0023,Family Dollar Store #7138 CCB Structural Fill,210 E 2nd St.,-,Weldon,NC,27890,Halifax,2006/04/27 00:00:00,36.43146,-77.618473,{F4D59884-38CC-42B3-8048-87CC93895E7F}
-8637696.7387,4359886.1386,103,CCB0024,Old Coca Cola Plant,Hwy 158,-,Weldon,NC,27890,Halifax,1997/07/17 00:00:00,36.42953,-77.59375,{34013DEC-FB84-4C5B-9177-C0A92757F273}
-8640448.8905,4360153.1688,104,CCB0025,"Weldon, Town of Fire Station #2",1050 Julian Allsbrook Hwy,-,Weldon,NC,27890,Halifax,1995/01/18 00:00:00,36.43146,-77.618473,{7A46EB65-355D-4A97-B634-C4D315CDF6F0}
-8643212.6195,4355898.0777,105,CCB0026,DOT NC 125 and I 95 CCB Structural Fill Site,Interstate 95 at NC 125,-,Roanoke Rapids,NC,0,Halifax,1995/05/29 00:00:00,36.4007,-77.6433,{CE5961E1-066F-42A6-B221-D7C03D0E9062}
