Facility,Year,GHG Facility ID,ECHO Facility Report,FRS ID,GHG Subpart,Chemical Formula,CAS Number,Amount (metric tons),State Territory or Tribe,EPA Region,Latitude,Longitude,EJSCREEN Report,City,ZIP Code
QORVO,2022,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,559-40-0,0.0002, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2022,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,75-73-0,0.1658, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
QORVO,2022,1010033,https://echo.epa.gov/detailed-facility-report?fid=110071161783,1.10071E+11,I: Electronics Manufacture,-,76-16-4,0.0131, NC,04,36.07565,-79.96503,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-79.96503,%22y%22:36.07565,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Greensboro,27409
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,338-83-0,0.0200, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9,0.0152, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,75-46-7,0.1549, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (e),0.1050, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (f),0.0250, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,69991-67-9 (h),0.0001, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,115-25-3,0.0381, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,559-40-0,0.0029, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,75-73-0,0.8749, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,76-16-4,1.2263, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
Wolfspeed RTP,2022,1012448,https://echo.epa.gov/detailed-facility-report?fid=110028008279,1.10028E+11,I: Electronics Manufacture,-,76-19-7,0.1833, NC,04,35.91704,-78.87028,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.87028,%22y%22:35.91704,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27709
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,338-83-0,0.0349, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,75-46-7,0.6454, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9 (e),0.0851, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,69991-67-9 (f),0.0050, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,115-25-3,0.0060, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,559-40-0,0.0028, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
"Wolfspeed, Inc",2022,1005759,https://echo.epa.gov/detailed-facility-report?fid=110000347321,1.1E+11,I: Electronics Manufacture,-,75-73-0,2.3934, NC,04,35.899298,-78.840802,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry=%7B%22x%22:-78.840802,%22y%22:35.899298,%22spatialReference%22:%7B%22wkid%22:4326%7D%7D&unit=9035&areatype=&areaid=&basemap=streets&distance=1",Durham,27703
