Facility,State Territory or Tribe,Latitude,Longitude,Total
Maxim Integrated Products, CA,37.4105,-121.94657,37
MEXICHEM FLUOR INC., LA,30.235778,-91.096005,13
Micrel LLC., CA,37.40093,-121.89527,31
Microchip Technology, CO,38.78695,-104.80641,100
MICROCHIP TECHNOLOGY INC, OR,45.52065,-122.44749,112
Microchip Technology Inc., AZ,33.41663,-111.96953,90
MICRON TECHNOLOGY  INC., ID,43.5268,-116.1449,148
MICRON TECHNOLOGY  INC., VA,38.74876,-77.51142,107
MidAmerican Energy Company, IA,41.58758,-93.62616,18
MIDWAY-SUNSET COGENERATION CO., CA,35.22663,-119.62972,9
Mission Solar Energy  LLC, TX,29.339345,-98.43792,18
Mitsubishi Electric Power Products  Inc., PA,40.66715,-80.11272,108
Muscatine, IA,41.3917,-91.0569,63
Nevada Power d/b/a NV Energy Transmission, NV,36.14427,-115.22733,9
New England Power Company, MA,42.396463,-71.271237,72
New Hampshire Transmission, NH,42.888904,-70.853616,18
New York State Electric and Gas, NY,42.10469,-75.82226,9
Newport Fab LLC (dba TowerJazz), CA,33.66314,-117.85918,111
Niagara Mohawk Electric, NY,43.05085,-76.15701,45
NIAGARA MOHAWK POWER CORPORATION, NY,43.05078,-76.15739,9
NIPSCO Electric Transmission, IN,41.46339,-87.32624,18
Northern States Power Company  A Minnesota Corporation - Subpart DD, MN,44.97967,-93.26989,36
NorthWestern Energy Electric Substations  MT, MT,46.01382,-112.53437,45
NorthWestern Energy Electric Substations  SD, SD,44.36751,-98.224,45
NSTAR Electric Company, MA,42.34863,-71.08273,9
NXP Semiconductors - EB site, TX,30.27065,-97.66924,125
NXP Semiconductors - OH site, TX,30.2368,-97.86504,92
NXP Semiconductors Chandler Site, AZ,33.32412,-111.85919,121
Oklahoma Gas & Electric Co., OK,35.471181,-97.516602,45
ON Semiconductor, AZ,33.46166,-111.9708,5
ON Semiconductor, OR,45.524721,-122.426083,91
Oncor Electric Delivery, TX,32.78705,-96.80382,27
Onsemi East Fishkill Facility, NY,41.54464,-73.82896,138
ORMET PRIMARY ALUMINUM CORP, OH,39.705,-80.84166,8
Pacific Gas and Electric Company (PG&E) - SF6 Emissions, CA,37.79134,-122.39604,73
PacifiCorp (T&D System), UT,40.77141,-111.92972,73
PECO Transmission and Distribution, PA,39.832588,-75.424143,18
Pepco, DC,38.89637,-76.9561,36
Polar Semiconductor LLC, MN,44.85312,-93.2301,89
PowerSouth Transmission System, AL,31.32981,-86.46757,27
PPL Electric Utilities, PA,40.608388,-75.45599,27
PREPA Electrical Transmission and Distribution Equiment, PR,18.466224,-66.105724,45
Public Service Company of Colorado - Subpart DD, MN,44.97967,-93.26989,36
Puget Sound Energy T&D, WA,47.61373,-122.19453,72
QORVO, NC,36.07565,-79.96503,45
Qorvo Texas LLC, TX,32.99761,-96.72705,60
Qorvo US  Inc., OR,45.539682,-122.936288,66
Renesas Electronics America Inc., FL,28.030281,-80.601389,49
REYNOLDS METALS ST LAWRENCE REDUCTION PL, NY,44.982804,-74.748897,10
Rochester Gas and Electric - Subpart DD, NY,43.15694,-77.60186,27
S&C Electric Company, IL,42.00231,-87.67662,108
Salinas River Cogeneration Facility, CA,35.9515,-120.8679,72
Salt River Project - T & D Equipment, AZ,33.447479,-111.952819,72
Samsung Austin Semiconductor, TX,30.375,-97.631386,140
Sand Bluff Substation, TX,32.0035,-101.2729,9
Santee Cooper T and D, SC,33.19869,-79.98041,9
Sargent Canyon Cogeneration Facility, CA,35.9359,-120.8405,72
SCE&G Electric Power Delivery, SC,33.956548,-81.047512,36
Seattle City Light, WA,47.60443,-122.32983,90
Sharyland Utilities L.P. North, TX,32.7871,-96.80262,9
Siemens Energy inc, MS,32.24943,-90.16217,54
SKYWATER TECHNOLOGY INC, MN,44.84786,-93.23745,108
Skyworks Solutions  Inc., CA,34.186689,-118.927624,20
Skyworks Solutions  Inc., MA,42.49891,-71.16311,63
Southern California Edison, CA,34.05394,-118.08024,28
Southwest Transmission Cooperative  Inc., AZ,31.95085,-110.28601,36
Southwestern Public Service Company - Subpart DD, MN,44.97967,-93.26989,36
Sunflower Electric Power Corporation, KS,38.87509,-99.3331,45
Sunrise Power Company, CA,35.2097,-119.585,27
SYCAMORE COGENERATION Facility, CA,35.4518,-118.9851,72
Tampa Electric Company, FL,27.94,-82.45,27
Terves Inc, OH,41.581415,-81.517464,1
Texas Instruments - Sherman, TX,33.6005808,-96.5569882,81
Texas Instruments Incorporated, TX,29.647,-95.575,9
Texas Instruments Incorporated - Maine Fab, ME,43.64075,-70.32198,81
Texas Instruments- Lehi Fab, UT,40.43377,-111.83166,104
TEXAS INSTRUMENTS NORTH CAMPUS, TX,32.93311,-96.7537,202
Texas Instruments Richardson, TX,32.999754,-96.72063,105
The Dayton Power and Light Company - Transmission and Distribution, OH,39.73021,-84.2161,45
The United Illuminating Company, CT,41.258852,-73.000946,54
Tower Semiconductor, TX,29.47154,-98.67401,91
TSI SEMICONDUCTORS LLC, CA,38.77518,-121.31299,109
TVA Transmission System, TN,35.04299,-85.3093,81
US MAGNESIUM LLC, UT,40.913462,-112.734503,10
Versum Materials US  LLC, PA,40.836389,-76.030833,24
Virginia Electric and Power Company, VA,37.533948,-77.452741,18
Vishay Intertechnology, CA,37.38405,-121.9657,35
WaferTech LLC, WA,45.619591,-122.456295,79
Wolfspeed RTP, NC,35.91704,-78.87028,73
Wolfspeed  Inc, NC,35.899298,-78.840802,88
X-FAB Texas Inc., TX,33.629444,-101.870834,86
