1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE
2021,27260MRCNM500MA,1.1E+11,AMERICAN METAL TREATING INC.,500 MANLEY ST,HIGH POINT,GUILFORD,NC,27260,,,35.95178,-79.97732
2021,27209FNDRY530EM,1.1E+11,GREDE II LLC,530 E MAIN,BISCOE,MONTGOMERY,NC,27209,,,35.3607,-79.7686
2021,28716CHMPNMAINS,1.1001E+11,BLUE RIDGE PAPER PRODUCTS LLC,175 MAIN ST,CANTON,HAYWOOD,NC,28716,,,35.5349,-82.8421
2021,2862WMSBRY23FAN,1.10071E+11,AMESBURYTRUTH,125 AMESBURY TRUTH DR,STATESVILLE,IREDELL,NC,28625,,,35.76479,-80.82044
2021,28159FNTXNI85AN,1.1E+11,INNOSPEC ACTIVE CHEMICALS,500 HINKLE LANE,SALISBURY,ROWAN,NC,28144,,,35.7037,-80.41267
2021,28726MNTMN305WK,1.10002E+11,MMA MANUFACTURING,305 W KING ST,EAST FLAT ROCK,HENDERSON,NC,28726,,,35.28295,-82.42608
2021,28086TNCRPHWY29,1.10008E+11,EATON CORP TRANSMISSION DIV,744 S BATTLEGROUND AVE,KINGS MOUNTAIN,CLEVELAND,NC,28086,,,35.229576,-81.351502
2021,27229MNTRF203MO,1.10007E+11,MOUNTAIRE FARMS INC- CANDOR FEED MILL,203 MORRIS FARM RD,CANDOR,MONTGOMERY,NC,27229,,,35.299233,-79.715983
2021,2811WHRSHD484HI,1.10056E+11,BEFESA ZINC METAL LLC,484 HICKS GROVE RD,MOORESBORO,RUTHERFORD,NC,28114,,,35.191023,-81.849132
2021,28144NTNLSCEDAR,1.10057E+11,HENKEL US OPERATIONS CORP,825 CEDAR SPRINGS RD,SALISBURY,ROWAN,NC,28147,,,35.63367,-80.53335
2021,28677PRNML173MC,1.1E+11,PURINA ANIMAL NUTRITION LLC - STATESVILLE,173 MCNESS RD,STATESVILLE,IREDELL,NC,28677,,,35.75389,-80.79541
2021,27302GCXXX6801I,1.1E+11,INDUSTRIAL CONNECTIONS & SOLUTIONS LLC,6801 INDUSTRIAL DR,MEBANE,ORANGE,NC,27302,,,36.07902,-79.23383
2021,2730WJRDNL1959H,1.1007E+11,JORDAN LUMBER & SUPPLY CO,1959 HIGHWAY 109 SOUTH,MOUNT GILEAD,MONTGOMERY,NC,27306,,,35.257891,-79.979323
2021,27360THMSM1024R,1.1E+11,BRASSCRAFT - THOMASVILLE,1024 RANDOLPH ST,THOMASVILLE,DAVIDSON,NC,27360,,,35.86641,-80.07204
2021,27407BRLNG6008H,1.10013E+11,ALBERDINGK BOLEY INC,6008 WEST GATE CITY BOULEVARD,GREENSBORO,GUILFORD,NC,27407,,,36.00477,-79.90461
2021,27922NCRST1505R,1.10024E+11,NUCOR STEEL HERTFORD COUNTY,1505 RIVER RD,COFIELD,HERTFORD,NC,27922,,,36.355216,-76.81115
2021,27017WYNFR1018E,1.1E+11,WAYNE-SANDERSON FARMS LLC - DOBSON FRESH PLANT,802 E ATKINS ST,DOBSON,SURRY,NC,27017,,,36.390989,-80.711483
2021,28732RLPHWCANEC,1.1001E+11,WILSONART LLC,80 LA WHITE DR,FLETCHER,HENDERSON,NC,28732,,,35.43584,-82.47971
2021,28328CMPBL224FA,1.1E+11,CAMPBELL OIL & GAS CO.,224 FAISON HWY,CLINTON,SAMPSON,NC,28328,,,35.00735,-78.30882
2021,28054WLSHC207TE,1.10042E+11,LUBRIZOL,207 TELEGRAPH DR,GASTONIA,GASTON,NC,28056,,,35.20176,-81.20877
2021,28458VLLYPHWY11,1.10001E+11,VALLEY PROTEINS INC-ROSE HILL FACILITY,469 YELLOW CUT RD,ROSE HILL,DUPLIN,NC,28458,,,34.83855,-78.0371
2021,28024DKNRGDUKEP,1.10006E+11,DUKE ENERGY CAROLINAS LLC - ROGERS ENERGY COMPLEX,573 DUKE POWER RD,MOORESBORO,RUTHERFORD,NC,28114,,,35.217222,-81.761111
2021,28086PNHLLHWY29,1.10001E+11,GENERAL SHALE BRICK INC PLANT 44,HWY 29 S 1622 LONGBRANCH RD,GROVER,CLEVELAND,NC,28073,,,35.177222,-81.417778
2021,28402GCMPNCASTL,1.10001E+11,GE CO,3901 CASTLE HAYNE RD NC HWY 133,WILMINGTON,NEW HANOVER,NC,28401,,,34.32184,-77.92815
2021,27877RSNLLWATER,1.10007E+11,RESINALL CORP,302 N WATER ST,SEVERN,NORTHAMPTON,NC,27877,,,36.512899,-77.189712
2021,27806TXSGLHIGHW,1.10001E+11,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,,,35.37745,-76.778816
2021,2760WSTCRL1117C,1.10044E+11,EAST CAROLINA METAL TREATING INC.,1117 CAPITAL BLVD.,RALEIGH,WAKE,NC,27603,,,35.79776,-78.6402
2021,2820WCNCRT33WES,1.10001E+11,CONCRETE SUPPLY WEST,3030 WEST TRADE ST,CHARLOTTE,MECKLENBURG,NC,28208,,,35.25442,-80.87131
2021,2816WKSMCS641PL,1.10056E+11,KSM CASTINGS USA INC,120 BLUE BROOK DR,SHELBY,CLEVELAND,NC,28150,,,35.32276,-81.62174
2021,27025PNHLLLINDS,1.1E+11,PINE HALL BRICK CO INC,634 LINDSAY BRIDGE RD,MADISON,ROCKINGHAM,NC,27025,,,36.37608,-79.99042
2021,28669HLLYFHWYNC,1.1001E+11,TYSON FARMS INC. - ROARING RIVER FEED MILL,179 ROARING RIVER ROAD,ROARING RIVER,WILKES,NC,28669,,,36.2044,-81.0047
2021,2734WPLLTN234IK,1.1001E+11,PALLET ONE OF SILER CITY,2340 IKE BROOKS RD,SILER CITY,CHATHAM,NC,27344,,,35.65526,-79.39197
2021,27377NGNRD1239R,1.1E+11,ENGINEERED CONTROLS INTERNATIONAL LLC,1239 ROCK CREEK DAIRY RD,WHITSETT,GUILFORD,NC,27377,,,36.05242,-79.59963
2021,28379PRDNC416SO,1.1E+11,PERDUE FOODS LLC - ROCKINGHAM PROCESSING PLANT,416 S LONG DR,ROCKINGHAM,RICHMOND,NC,28379,,,34.934167,-79.753611
2021,28302BRDNN1411I,1.1001E+11,HEXION INC-FAYETTEVILLE FACILITY,1411 INDUSTRIAL DR,FAYETTEVILLE,CUMBERLAND,NC,28301,,,35.02915,-78.861916
2021,28451GNRLWHIGHW,1.1E+11,CAROLINA POLE LELAND,1901 WOOD TREATMENT RD,LELAND,BRUNSWICK,NC,28451,,,34.2504,-78.07457
2021,27962WYRHSTROWB,1.10014E+11,DOMTAR PAPER CO LLC-PLYMOUTH MILL,TROWBRIDGE RD,PLYMOUTH,MARTIN,NC,27962,,,35.861716,-76.779683
2021,28337VDRRT2100W,1.1001E+11,DYNAPAR CORP DBA SPECIALTY PRODUCT TECHNOLOGIES,2100 W BROAD ST,ELIZABETHTOWN,BLADEN,NC,28337,,,34.63489,-78.63007
2021,27320BTRSL226WA,1.1001E+11,HENNIGES AUTOMOTIVE NORTH CAROLINA INC,226 WATLINGTON INDUSTRIAL DR,REIDSVILLE,ROCKINGHAM,NC,27320,,,36.32657,-79.64808
2021,27052DKNRGPINEH,1.10001E+11,DUKE ENERGY CAROLINAS LLC - BELEWS CREEK STEAM STATION,3195 PINE HALL RD,WALNUT COVE,STOKES,NC,27052,,,36.281338,-80.059438
2021,2809WCNCRT831SM,1.10055E+11,CONCRETE SUPPLY CO - LINCOLNTON,831 S. MADISON ST,LINCOLNTON,LINCOLN,NC,28092,,,35.46017,-81.26184
2021,28144NTNLSCEDAR,1.10057E+11,HENKEL US OPERATIONS CORP,825 CEDAR SPRINGS RD,SALISBURY,ROWAN,NC,28147,,,35.63367,-80.53335
2021,28682DKNRG8320E,1.1E+11,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,,,35.5983,-80.9636
2021,2821WCNCRT4MINU,1.1001E+11,CONCRETE SUPPLY CO - SOUTH PLANT,400 MINUET LN,CHARLOTTE,MECKLENBURG,NC,28217,,,35.16766,-80.88231
2021,28502DPNTKNCHIG,1.10044E+11,COVATION BIOMATERIALS KINSTON SITE,4693 HIGHWAY 11 N,GRIFTON,LENOIR,NC,28530,,,35.3306,-77.4772
2021,2759WCPTVR36NRT,1.10071E+11,CAPTIVEAIRE SYSTEMS INC,360 NORTHBROOK DR,YOUNGSVILLE,FRANKLIN,NC,27596,,,36.049586,-78.484613
2021,28115NGKCR119MA,1.10031E+11,NGK CERAMICS USA INC,119 MAZEPPA RD,MOORESVILLE,IREDELL,NC,28115,,,35.614,-80.81605
2021,28208SHLND3930G,1.1E+11,NEXEO SOLUTIONS LLC,3930 GLENWOOD DR,CHARLOTTE,MECKLENBURG,NC,28208,,,35.2511,-80.8855
2021,27261MRSHF1001S,1.10012E+11,MARSH FURNITURE CO,1001 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,27260,,,35.943189,-79.999779
2021,28138HMSBY508PA,1.1E+11,SCHULT ROCKWELL,508 PALMER RD,ROCKWELL,ROWAN,NC,28138,,,35.55722,-80.40439
2021,27577LMPML210N2,1.10013E+11,LAMPE & MALPHRUS LUMBER CO,210 N TENTH ST,SMITHFIELD,JOHNSTON,NC,27577,,,35.511462,-78.335034
2021,2756WNTGRT48DAV,1.10071E+11,INTEGRATED DNA TECHNOLOGIES,4800 DAVIS DR,MORRISVILLE,WAKE,NC,27560,,,35.853317,-78.864928
2021,2710WDWNTW159WI,1.10001E+11,DOWNTOWN CONCRETE PLANT,1590 WILLIAMSON ST,WINSTON SALEM,FORSYTH,NC,27107,,,36.08068,-80.22318
2021,28677JCSTL710SM,1.1E+11,J C STEELE & SONS INC,710 S MULBERRY ST,STATESVILLE,IREDELL,NC,28677,,,35.77594,-80.88917
2021,28054WLSHC207TE,1.10042E+11,LUBRIZOL,207 TELEGRAPH DR,GASTONIA,GASTON,NC,28056,,,35.20176,-81.20877
2021,27856CRLNS341CR,1.10007E+11,W&W-AFCO STEEL LLC,341 CORBETT RD,NASHVILLE,NASH,NC,27856,,,35.968157,-78.007145
2021,28052FRSTN37SDA,1.1007E+11,FIRESTONE FIBERS & TEXTILES CO,317 S DALTON ST,GASTONIA,GASTON,NC,28052,,,35.25885,-81.1989
2021,2752WRGSGR64EGA,1.10069E+11,ARGOS GARNER CONCRETE PLANT,604 E GARNER RD,GARNER,WAKE,NC,27529,,,35.70435,-78.59646
2021,27403DSTNC1025H,1.1E+11,SHERWIN-WILLIAMS CO,1025 HOWARD ST,GREENSBORO,GUILFORD,NC,27403,,,36.06238,-79.83395
2021,27261HGHPN255BE,1.10001E+11,KAO SPECIALTIES AMERICAS LLC,243 WOODBINE ST,HIGH POINT,GUILFORD,NC,27260,,,35.92333,-80.02967
2021,27107STRHC4000O,1.1E+11,ARDAGH METAL BEVERAGE USA INC RE: WINSTON SALEM PLANT,4000 OLD MILWAUKEE LN,WINSTON SALEM,FORSYTH,NC,27107,,,36.03497,-80.22449
2021,28358LNDSY612E1,1.1E+11,LINDSEY CAMPBELL OIL CO,612 E 17TH ST,LUMBERTON,ROBESON,NC,28358,,,34.62886,-79.0003
2021,27330LBRCK3704H,1.1E+11,LEE BRICK & TILE CO,3704 HAWKINS AVE,SANFORD,LEE,NC,27330,1,Eastern Band of Cherokee Indians,35.54708,-79.19088
2021,28625DVNCD280CR,1.1001E+11,HEXPOL COMPOUNDING NC INC.,280 CRAWFORD RD,STATESVILLE,IREDELL,NC,28625,,,35.8229,-80.84611
2021,28451MRCND1690N,1.1E+11,AMERICAN DISTILLATION INC,1690 NE ROYSTER RD,LELAND,BRUNSWICK,NC,28451,,,34.270744,-78.003706
2021,27856PRDFRALTUS,1.1001E+11,PERDUE FOODS LLC - NASHVILLE FEED MILL,1835 US HWY 64A,NASHVILLE,NASH,NC,27856,,,35.970875,-77.999312
2021,27870RSMRY12THS,1.10001E+11,ROSEMARY POWER STATION,12TH ST,ROANOKE RAPIDS,HALIFAX,NC,27870,,,36.452527,-77.660408
2021,28379SMPRD106EN,1.10002E+11,CAI INC.,106 ENTERPRISE DR,ROCKINGHAM,RICHMOND,NC,28379,,,34.963772,-79.80426
2021,2862WCRSSR28BUC,1.10067E+11,CROSSROADS COATINGS INC,208 BUCKS INDUSTRIAL PARK RD,STATESVILLE,IREDELL,NC,28625,,,35.80975,-80.94172
2021,27835GRDYWGREEN,1.1E+11,GRADY WHITE BOATS INC.,5121 MARTIN LUTHER KING JR HWY,GREENVILLE,PITT,NC,27834,,,35.649613,-77.34405
2021,27806TXSGLHIGHW,1.10001E+11,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,,,35.37745,-76.778816
2021,27525NVBCHSTATE,1.1E+11,NOVOZYMES NA INC,77 PERRY CHAPEL CHURCH RD,FRANKLINTON,FRANKLIN,NC,27525,,,36.098611,-78.410556
2021,28357MNTRFHWY71,1.10001E+11,MOUNTAIRE FARMS INC. - LUMBER BRIDGE,17269 NC HWY 71,LUMBER BRIDGE,ROBESON,NC,28357,,,34.868321,-79.106259
2021,2820WTWCCN227GA,1.1007E+11,ITW CCNA PNA CONSTRUCTION TECHNOLOGIES,2027 GATEWAY BLVD,CHARLOTTE,MECKLENBURG,NC,28208,,,35.24323,-80.90692
2021,2814WSCHND15SUM,1.10027E+11,SCHNEIDER ELECTRIC SALISBURY NC,105 SUMMIT PARK DRIVE,SALISBURY,ROWAN,NC,28146,,,35.63016,-80.48892
2021,28682DKNRG8320E,1.1E+11,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,,,35.5983,-80.9636
