X,Y,OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE
-78.93154251,35.67336973,22856,9205,Apex Fire Department,2,3045 New Hill Holleman,New Hill,NC,Wake,27562,35.67,-78.93
-78.8607333,35.73575603,22857,9205,Apex Fire Department,3,736 Hunter St.,Apex,NC,Wake,27502,35.74,-78.86
-78.8348,35.70529,22858,9205,Apex Fire Department,4,1615 E. Williams St.,Apex,NC,Wake,27502,35.71,-78.83
-78.88954373,35.7218748,22859,9205,Apex Fire Department,5,2050 Kelly Road,Apex,NC,Wake,27502,35.72,-78.89
-80.226,35.2252,22860,8402,"Aquadale Rural Volunteer Fire Department, Inc.",1,11578 NC 138 Hwy,Norwood,NC,Stanly,28128,35.23,-80.23
-80.18812834,35.19749288,22861,8402,"Aquadale Rural Volunteer Fire Department, Inc.",2,4838 Plank Rd,Norwood,NC,Stanly,28128,35.20,-80.19
-76.82407813,35.02380671,22862,6901,"Arapahoe Volunteer Fire-Rescue, Inc.",1,8233 NC Hwy 306 South,Arapahoe,NC,Pamlico,28510,35.02,-76.82
-80.55894367,36.40277911,22863,8663,"Ararat Volunteer Fire Department, Incorporated",1,1415 Ararat Road,Ararat,NC,Surry,27007,36.40,-80.56
-77.6964,35.4033,22864,4001,"Arba Rural Fire Association, Incorporated",1,2001 Jessie Hill Rd,Snow Hill,NC,Greene,28580,35.40,-77.70
-80.30863603,35.94119577,22865,2901,"Arcadia-Reedy Creek-Hampton Volunteer Fire and Rescue Department, Inc.",1,1374 Ruff Leonard Road,Lexington,NC,Davidson,27295,35.94,-80.31
-77.98176589,36.2901978,22866,9302,"Arcola Rural Volunteer Fire Department, Inc.",1,2169 NC Hwy 43,Warrenton,NC,Warren,27589,36.29,-77.98
-80.83,36.2248,22867,9916,"Arlington Fire and Rescue, Inc.",1,321 South Main Street,Jonesville,NC,Yadkin,28642,36.22,-80.83
-80.8072,36.1971,22868,9916,"Arlington Fire and Rescue, Inc.",2,4510 Little Mountain Road,Jonesville,NC,Yadkin,28642,36.20,-80.81
-77.980924,35.298486,22869,9602,"Arrington Volunteer Fire Department, Inc.",1,570 Emmaus Church Rd.,Dudley,NC,Wayne,28333,35.30,-77.98
-79.81674828,35.70163804,22870,7601,Asheboro Fire Department,1,401 S. Church Street,Asheboro,NC,Randolph,27203,35.70,-79.82
-79.80579615,35.75740883,22871,7601,Asheboro Fire Department,2,2105 N. Fayettville Street,Asheboro,NC,Randolph,27203,35.76,-79.81
-82.5499923,35.59462955,22872,1101,Asheville Fire Department,1,100 Court Plaza,Asheville,NC,Buncombe,28801,35.59,-82.55
-82.56044525,35.57813054,22873,1101,Asheville Fire Department,2,415 South French Broad Avenue,Asheville,NC,Buncombe,28801,35.58,-82.56
-82.59169375,35.58523292,22874,1101,Asheville Fire Department,3,50 Oregon Avenue,Asheville,NC,Buncombe,28806,35.59,-82.59
-82.52450461,35.48438987,22875,1101,Asheville Fire Department,4,9 Miller Road,Asheville,NC,Buncombe,28805,35.48,-82.52
-82.52886286,35.53682263,22876,1101,Asheville Fire Department,5,1074 Hendersonville Road,Asheville,NC,Buncombe,28803,35.54,-82.53
-82.60210729,35.58090804,22877,1101,Asheville Fire Department,6,970 Haywood Road,Asheville,NC,Buncombe,28806,35.58,-82.60
-82.55290163,35.62301172,22878,1101,Asheville Fire Department,7,37 East Larchmont Drive,Asheville,NC,Buncombe,28804,35.62,-82.55
-82.50287318,35.58776679,22879,1101,Asheville Fire Department,8,904 Tunnel Road,Asheville,NC,Buncombe,28805,35.59,-82.50
-82.51352682,35.56427309,22880,1101,Asheville Fire Department,9,749 Fairview Road,Asheville,NC,Buncombe,28803,35.56,-82.51
-82.63385324,35.56473418,22881,1101,Asheville Fire Department,10,1903 Old Haywood Road,Asheville,NC,Buncombe,28806,35.56,-82.63
-82.60485172,35.53411471,22882,1101,Asheville Fire Department,11,7 Rocky Ridge Road,Asheville,NC,Buncombe,28806,35.53,-82.60
-82.50197166,35.61115639,22883,1101,Asheville Fire Department,12,880 New Hawcreek Road,Asheville,NC,Buncombe,28805,35.61,-82.50
-81.95691609,35.86244349,22884,5601,Ashford - North Cove Volunteer Fire Department,1,15640 Hwy. 221 North,Marion,NC,McDowell,28752,35.86,-81.96
-76.9393498,36.10907865,22885,801,"Askewville Volunteer Fire Department, Inc.",1,105 S Railroad St ,Windsor,NC,Bertie,27983,36.11,-76.94
-78.17059464,34.5287812,22886,7101,Atkinson Fire Department,1,110 N First Ave,Atkinson,NC,Pender,28421,34.53,-78.17
-76.73993411,34.70079262,22887,1634,Atlantic Beach Fire Department,1,125 West Fort Macon Rd.,Atlantic Beach,NC,Carteret,28512,34.70,-76.74
-80.68,35.5728,22888,8040,"Atwell Township Fire Department, Incorporated",1,135 Concordia Church Road,Mooresville,NC,Rowan,28115,35.57,-80.68
-80.7199,35.5319,22889,8040,"Atwell Township Fire Department, Incorporated",2,8480 Unity Church Rd.,Kannapolis,NC,Rowan,28081,35.53,-80.72
-77.1153,36.2293,22890,802,Aulander Fire Department,1,124 W. Main St.,Aulander,NC,Bertie,27805,36.23,-77.12
-76.78339423,35.30036498,22891,701,"Aurora Volunteer Fire Department, Inc.",1,99 NC Hwy 33 East,Aurora,NC,Beaufort,27806,35.30,-76.78
-76.88190133,35.32513336,22892,701,"Aurora Volunteer Fire Department, Inc.",2,49 Labor Camp Road,Edward,NC,Beaufort,27821,35.33,-76.88
-80.96110729,36.3137,22893,9701,"Austin Volunteer Fire Department, Inc.",1,7170 Austin-Traphill RD.,Elkin,NC,Wilkes,28621,36.31,-80.96
-80.83008198,36.22489474,22894,9701,"Austin Volunteer Fire Department, Inc.",2,321 South Main Street,Jonesville,NC,Wilkes,28642,36.22,-80.83
-78.6395,34.9999,22895,8201,"Autryville Area Fire Department, Inc.",1,305 North Hotel St. ,Autryville,NC,Sampson,28318,35.00,-78.64
-75.50604676,35.35337875,22896,2801,"Avon Volunteer Fire Department, Inc.",1,40159 Harbor Rd.,Avon,NC,Dare,27915,35.35,-75.51
-77.41659697,35.47236894,22897,7444,Ayden Fire Department,1,4112 West Ave,Ayden,NC,Pitt,28513,35.47,-77.42
-77.36279699,35.47060526,22898,7444,Ayden Fire Department,2,1809 NC 102 East,Ayden,NC,Pitt,28513,35.47,-77.36
-77.4162,35.4725,22899,7442,"Ayden Rural Fire Association, Inc.",1,4112 West Ave,Ayden,NC,Pitt,28513,35.47,-77.42
-77.62335364,34.83764716,22900,6701,"Back Swamp Volunteer Fire Department, Inc.",1,2957 Catherine Lake Rd,Richlands,NC,Onslow,28574,34.84,-77.62
-80.1274,35.4923,22901,6207,"Badin Lake Volunteer Fire Department, Inc.",1,387 Uwharrie Parkway,New London,NC,Montgomery,28127,35.49,-80.13
-80.1071249,35.49837161,22902,6207,"Badin Lake Volunteer Fire Department, Inc.",2,1018 Pinehaven Dr,New London,NC,Montgomery,28127,35.50,-80.11
-80.08166093,35.48703885,22903,6207,"Badin Lake Volunteer Fire Department, Inc.",3,625 Blaine Rd,New London,NC,Montgomery,28127,35.49,-80.08
-80.11802186,35.40399466,22904,8403,"Badin Volunteer Fire Department, Inc.",1,128 NC 740 Hwy,Badin,NC,Stanly,28009,35.40,-80.12
-78.87208006,36.16766694,22905,3201,"Bahama Volunteer Fire, Rescue, Ems Company, Inc.",1,1814 Bahama Road,Bahama,NC,Durham,27503,36.17,-78.87
-78.9164,36.2035,22906,3201,"Bahama Volunteer Fire, Rescue, Ems Company, Inc.",2,11819 North Roxboro Rd,Rougemont,NC,Durham,27572,36.20,-78.92
-78.84919236,36.126787,22907,3201,"Bahama Volunteer Fire, Rescue, Ems Company, Inc.",3,6201 Stagville Rd,Bahama,NC,Durham,27503,36.13,-78.85
-78.11707703,35.77923008,22908,6401,"Bailey Fire Department, Green Hornet Fire District, Inc.",1,6336 Main Street,Bailey,NC,Nash,27807,35.78,-78.12
-78.0429,35.805,22909,6401,"Bailey Fire Department, Green Hornet Fire District, Inc.",2,2509 West Hornes Church Road,Bailey,NC,Nash,27807,35.81,-78.04
-80.6272502,35.03592563,22910,9002,"Bakers Volunteer Fire and Rescue Department, Inc.",1,4425 Old Charlotte Highway,Monroe,NC,Union,28110,35.04,-80.63
-82.1625498,36.01306983,22911,6101,Bakersville Fire And Rescue,1,306 Baker Lane,Bakersville,NC,Mitchell,28705,36.01,-82.16
-82.176782,35.9725,22912,6101,Bakersville Fire And Rescue,2,18 Water Street,Bakersville,NC,Mitchell,28705,35.97,-82.18
-77.7461,35.7215,22913,9813,Bakertown Volunteer Fire and 1st Responder,1,6505 Webb Lake Rd,Elm City,NC,Wilson,27822,35.72,-77.75
-77.982376,33.856653,22914,1019,Bald Head Island Fire Department,1,273 Edward Teach Wynd,Southport,NC,Brunswick,28461,33.86,-77.98
-77.96489823,33.85480473,22915,1019,Bald Head Island Fire Department,2,9 Cape Creek Road,Bald Head Island,NC,Brunswick,28461,33.85,-77.96
-82.8732414,35.22972328,22916,8814,"Balsam Grove Volunteer Fire Rescue, Inc.",1,8720 Parkway Rd,Balsam Grove,NC,Transylvania,28708,35.23,-82.87
-83.11555405,35.41156009,22917,5006,"Balsam-Willets-Ochre Hill Volunteer Fire Department, Incorporated",1,36 Mount Pleasant Church Road,Sylva,NC,Jackson,28779,35.41,-83.12
-83.10447166,35.42729617,22918,5006,"Balsam-Willets-Ochre Hill Volunteer Fire Department, Incorporated",2,43 Woodfin Road,Sylva,NC,Jackson,28779,35.43,-83.10
-81.0913,35.64118719,22919,1801,"Bandys Crossroads Volunteer Fire Department, Incorporated",1,1611 Buffalo Shoals Road,Catawba,NC,Catawba,28609,35.64,-81.09
-81.1289,35.5835,22920,1801,"Bandys Crossroads Volunteer Fire Department, Incorporated",2,3679 Buffalo Shoals Road,Maiden,NC,Catawba,28650,35.58,-81.13
-81.0909502,35.5889953,22921,1801,"Bandys Crossroads Volunteer Fire Department, Incorporated",3,4849 NC 16 Hwy S,Maiden,NC,Catawba,28650,35.59,-81.09
-81.87045324,36.16134725,22922,601,"Banner Elk Volunteer Fire Rescue, Inc.",1,345 Shawneehew Ave,Banner Elk,NC,Avery,28604,36.16,-81.87
-81.84995557,36.13409098,22923,601,"Banner Elk Volunteer Fire Rescue, Inc.",2,256 Norwood Hollow Rd,Banner Elk,NC,Avery,28604,36.13,-81.85
-80.57024291,36.48928758,22924,8675,"Bannertown Volunteer Fire Department, Inc.",1,124 Reeves Mill Road,Mount Airy,NC,Surry,27030,36.49,-80.57
-80.55690099,36.46467098,22925,8675,"Bannertown Volunteer Fire Department, Inc.",2,413 Holly Springs Road,Mount Airy,NC,Surry,27030,36.46,-80.56
-82.44961609,35.77379524,22926,1102,"Barnardsville Volunteer Fire Department, Incorporated",1,100 Dillingham Road,Barnardsville,NC,Buncombe,28709,35.77,-82.45
-82.29115708,35.45294269,22927,4501,"Bat Cave Volunteer Fire and Rescue Department, Inc.",1,267 Gerton Highway,Bat Cave,NC,Henderson,28710,35.45,-82.29
-76.8065,35.4761,22928,702,"Bath Volunteer Fire Department, Inc.",1,430 Carteret St.,Bath,NC,Beaufort,27808,35.48,-76.81
-77.75297125,36.04859542,22929,6402,"Battleboro Rural Fire Department, H. L. Harrison Fire District, Inc.",1,4909 Hathaway St.,Battleboro,NC,Nash,27809,36.05,-77.75
-78.41595633,34.6879,22930,915,"Bay Tree Lakes Volunteer Fire Department, Inc.",1,12717 NC Hwy 41 E,Harrells,NC,Bladen,28444,34.69,-78.42
-77.1226751,35.77143928,22931,5901,"Bear Grass Fire Rescue, Inc.",1,6005 Bear Grass Road,Williamston,NC,Martin,27892,35.77,-77.12
-78.40033988,36.2766519,22932,9101,"Bearpond Rural Fire Department, Inc.",1,325 Bear Pond Road,Henderson,NC,Vance,27537,36.28,-78.40
-76.65660956,34.71703606,22933,1654,Beaufort Fire Dept.,1,506 Liveoak St,Beaufort,NC,Carteret,28516,34.72,-76.66
-76.67778081,34.81483235,22934,1654,Beaufort Fire Dept.,2,2731 Highway 101,Beaufort,NC,Carteret,28516,34.81,-76.68
